epoch,train_loss,validation_loss,validation_accuracy,validation_f1
1,0.07363628414067952,0.028555841664233982,0.9956573233320174,0.9959244164505372
2,0.019949920074716417,0.019558202468323533,0.9956573233320174,0.9959244164505372
3,0.014394338883752238,0.01604574022721242,0.9960521121200158,0.9962935507783544
4,0.011845928028908305,0.014065561479305355,0.9964469009080142,0.996662958843159
5,0.01030377663235907,0.012861824981232924,0.9964469009080142,0.996662958843159
6,0.009297911470231629,0.011955117893931402,0.9964469009080142,0.996662958843159
7,0.008534809859709258,0.011232341759559833,0.9968416896960126,0.9970326409495549
8,0.007967640467663139,0.010697243621398574,0.9968416896960126,0.9970326409495549
9,0.0075129136796842156,0.01024158980989328,0.9972364784840111,0.9974025974025974
10,0.00713029324304661,0.009871331665648733,0.9972364784840111,0.9974025974025974
11,0.0068024686048490475,0.009565895062603242,0.9972364784840111,0.9974025974025974
12,0.006543912528839405,0.009285376346539566,0.9972364784840111,0.9974025974025974
13,0.006304790813465184,0.009040997022791573,0.9976312672720095,0.9977728285077951
14,0.006095003494217056,0.00882817303993108,0.9976312672720095,0.9977728285077951
15,0.0059076601245885065,0.008635923762956875,0.9980260560600079,0.9981433345711103
