,precision,recall,f1-score,support
0,0.9827586206896551,0.9887755102040816,0.9857578840284842,980.0
1,0.9894644424934153,0.9929515418502203,0.9912049252418645,1135.0
2,0.9788257940327237,0.9854651162790697,0.9821342346692419,1032.0
3,0.977205153617443,0.9762376237623762,0.9767211490837048,1010.0
4,0.9787234042553191,0.9837067209775967,0.9812087353986796,982.0
5,0.9638157894736842,0.9854260089686099,0.9745011086474501,892.0
6,0.9862579281183932,0.9739039665970772,0.9800420168067226,958.0
7,0.9737609329446064,0.9747081712062257,0.9742343218279047,1028.0
8,0.9841101694915254,0.9537987679671458,0.9687174139728885,974.0
9,0.9722497522299306,0.9722497522299306,0.9722497522299306,1009.0
accuracy,0.9789,0.9789,0.9789,0.9789
macro avg,0.9787171987346698,0.9787223180042336,0.9786771541906871,10000.0
weighted avg,0.9789485721579747,0.9789,0.9788837070475179,10000.0
