,precision,recall,f1-score,support
0,0.994908350305499,0.996938775510204,0.9959225280326198,980.0
1,0.9947275922671354,0.9973568281938326,0.9960404751429829,1135.0
2,0.991321118611379,0.9961240310077519,0.9937167713871435,1032.0
3,0.9920870425321464,0.9930693069306931,0.9925779317169718,1010.0
4,0.9908722109533469,0.994908350305499,0.9928861788617886,982.0
5,0.987750556792873,0.9943946188340808,0.9910614525139665,892.0
6,0.9989451476793249,0.988517745302714,0.993704092339979,958.0
7,0.9902912621359223,0.9922178988326849,0.9912536443148688,1028.0
8,0.9917948717948718,0.9928131416837782,0.9923037455105183,974.0
9,0.9949748743718593,0.981169474727453,0.9880239520958084,1009.0
accuracy,0.9928,0.9928,0.9928,0.9928
macro avg,0.9927673027444358,0.9927510171328692,0.9927490771916648,10000.0
weighted avg,0.992813403802436,0.9928,0.9927967761758962,10000.0
