,precision,recall,f1-score,support
0,0.972972972972973,0.9918367346938776,0.9823143001515917,980.0
1,0.9868881118881119,0.9947136563876652,0.9907854322071084,1135.0
2,0.9823182711198428,0.9689922480620154,0.975609756097561,1032.0
3,0.9736842105263158,0.9891089108910891,0.981335952848723,1010.0
4,0.9867482161060143,0.9857433808553971,0.9862455425369333,982.0
5,0.9755283648498332,0.9831838565022422,0.9793411501954216,892.0
6,0.9904559915164369,0.9749478079331941,0.9826407154129405,958.0
7,0.9692011549566891,0.9795719844357976,0.9743589743589743,1028.0
8,0.9904357066950054,0.9568788501026694,0.9733681462140992,974.0
9,0.9702970297029703,0.9712586719524281,0.9707776126795443,1009.0
accuracy,0.9798,0.9798,0.9798,0.9798
macro avg,0.9798530030334192,0.9796236101816376,0.9796777582702898,10000.0
weighted avg,0.9798872787055388,0.9798,0.9797839505731921,10000.0
