,precision,recall,f1-score,support
avión,0.7895256916996047,0.799,0.794234592445328,1000.0
automóvil,0.9190325972660357,0.874,0.8959507944643772,1000.0
pájaro,0.7270471464019851,0.586,0.6489479512735327,1000.0
gato,0.5927835051546392,0.575,0.583756345177665,1000.0
ciervo,0.7296511627906976,0.753,0.7411417322834646,1000.0
perro,0.7325870646766169,0.589,0.6529933481152993,1000.0
rana,0.6623655913978495,0.924,0.7716075156576201,1000.0
caballo,0.8782707622298066,0.772,0.8217136774880256,1000.0
barco,0.8624641833810889,0.903,0.882266731802638,1000.0
camión,0.8179347826086957,0.903,0.8583650190114068,1000.0
accuracy,0.7678,0.7678,0.7678,0.7678
macro avg,0.7711662487607021,0.7678,0.7650977707719356,10000.0
weighted avg,0.7711662487607021,0.7678,0.7650977707719356,10000.0
