,precision,recall,f1-score,support
0,0.9979570990806946,0.996938775510204,0.9974476773864216,980.0
1,0.9921121822962313,0.9973568281938326,0.9947275922671354,1135.0
2,0.9970958373668926,0.998062015503876,0.9975786924939467,1032.0
3,0.9950641658440277,0.998019801980198,0.9965397923875432,1010.0
4,0.994908350305499,0.994908350305499,0.994908350305499,982.0
5,0.9966329966329966,0.9955156950672646,0.9960740325294447,892.0
6,0.9968553459119497,0.9926931106471816,0.9947698744769874,958.0
7,0.997078870496592,0.9961089494163424,0.9965936739659368,1028.0
8,0.9979402677651905,0.9948665297741273,0.996401028277635,974.0
9,0.9950445986124876,0.9950445986124876,0.9950445986124876,1009.0
accuracy,0.996,0.996,0.996,0.996
macro avg,0.9960689714312562,0.9959514655011013,0.9960085312703036,10000.0
weighted avg,0.9960037949724477,0.996,0.9960001417171681,10000.0
