,precision,recall,f1-score,support
avión,0.9069286452947259,0.877,0.8917132689374683,1000.0
automóvil,0.9453280318091452,0.951,0.9481555333998006,1000.0
pájaro,0.859358841778697,0.831,0.8449415353329944,1000.0
gato,0.8298653610771114,0.678,0.7462850853054486,1000.0
ciervo,0.881488736532811,0.9,0.8906481939633845,1000.0
perro,0.7595486111111112,0.875,0.8131970260223048,1000.0
rana,0.884871550903901,0.93,0.9068746952705997,1000.0
caballo,0.9347604485219164,0.917,0.9257950530035336,1000.0
barco,0.9133333333333333,0.959,0.935609756097561,1000.0
camión,0.930161943319838,0.919,0.9245472837022133,1000.0
accuracy,0.8837,0.8837,0.8837,0.8837
macro avg,0.884564550368259,0.8836999999999999,0.8827767431035308,10000.0
weighted avg,0.884564550368259,0.8837,0.8827767431035308,10000.0
