epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_macro_f1,learning_rate
1,1.5011626219643488,1.276808829498291,0.45124444444444445,0.5438,0.5300066826585577,0.001
2,1.09853660364151,0.9850750802993774,0.6089333333333333,0.6442,0.6432898013713023,0.001
3,0.9378295790248447,0.8655173000335693,0.6695555555555556,0.699,0.6958525938634071,0.001
4,0.8416461604118347,0.7350114088058471,0.7041777777777778,0.741,0.7378597319166421,0.001
5,0.7910635975625779,0.6793552307128906,0.7248888888888889,0.7674,0.7629238985913821,0.001
6,0.7408485936906603,0.6855998821258545,0.7425555555555555,0.7648,0.7580343935576764,0.001
7,0.6977657074928284,0.5878268858909607,0.7568444444444444,0.7982,0.7991296662774561,0.001
8,0.6759002732012007,0.6295498879432678,0.7641555555555556,0.7886,0.7884559454079314,0.001
9,0.6443722537146674,0.5651444309234619,0.7778888888888889,0.8054,0.8051204828654923,0.001
10,0.6197577882236904,0.6479248447418213,0.7863111111111111,0.786,0.7872384962401817,0.001
11,0.6000989263428582,0.5768155149459839,0.7923777777777777,0.8038,0.8009100041726909,0.001
12,0.5788320435312059,0.5555294149398804,0.8004222222222223,0.8092,0.8130448982680483,0.001
13,0.5704606785138449,0.49179793367385866,0.8036888888888889,0.832,0.8322527262787714,0.001
14,0.5502369112756518,0.5097295770645142,0.8113111111111111,0.825,0.8215715904006486,0.001
15,0.5420181987550523,0.5258023913383484,0.8135111111111111,0.824,0.8235851996358722,0.001
16,0.5269403409110175,0.4822911936759949,0.8187555555555556,0.8392,0.8389879883041358,0.001
17,0.5110544564459059,0.4526918751716614,0.8234,0.848,0.8478738664785975,0.001
18,0.5074990992863972,0.47667545623779295,0.8262444444444444,0.8412,0.8393881832992282,0.001
19,0.4965372841305203,0.4782818181037903,0.8294222222222222,0.8386,0.8360412888504903,0.001
20,0.4846903056462606,0.46449384317398074,0.8334888888888888,0.8434,0.8433794754747916,0.0005
21,0.4442431582344903,0.4004219243526459,0.8475111111111111,0.86,0.8591674811192556,0.0005
22,0.4221099662833744,0.41888930325508117,0.8559555555555556,0.8578,0.8562194943702238,0.0005
23,0.41644341067208185,0.3894081332206726,0.8562444444444445,0.8652,0.8642683543406608,0.0005
24,0.40917428822517393,0.3869270637512207,0.8593333333333333,0.87,0.8694538219607543,0.0005
25,0.4024246871948242,0.3849185950279236,0.8604444444444445,0.868,0.8674953435692927,0.0005
26,0.39698800139957,0.37692105984687807,0.8622444444444445,0.8754,0.8748764824737073,0.0005
27,0.4001206278377109,0.3935720109939575,0.8618222222222223,0.8654,0.8645622106408354,0.0005
28,0.392265625445048,0.3799963039398193,0.8664222222222222,0.87,0.8693769073568471,0.0005
29,0.38767352798779803,0.39633108797073363,0.8678,0.8662,0.8651311642657757,0.00025
30,0.3609563104629517,0.36148192443847654,0.8760888888888889,0.8814,0.8803117415710437,0.00025
31,0.3519160121017032,0.3496722315311432,0.8789777777777777,0.8826,0.8823688565126722,0.00025
32,0.3481878963311513,0.3579249607086182,0.8787111111111111,0.8766,0.8757248699151615,0.00025
33,0.3402665325694614,0.35716539249420165,0.8836888888888889,0.8752,0.8740392634998202,0.00025
34,0.33856192220581904,0.3481707021713257,0.8840888888888889,0.879,0.8786698810623765,0.00025
35,0.3347270284599728,0.34403905448913574,0.8845111111111111,0.8808,0.8806176201867822,0.00025
36,0.331287665409512,0.3442914748191834,0.8832222222222222,0.8834,0.8827959510089878,0.00025
37,0.32820024683210586,0.3584820179224014,0.8875555555555555,0.8794,0.878511297169173,0.00025
38,0.32594861387411755,0.34068481416702273,0.8863555555555556,0.8814,0.8809221481101362,0.00025
39,0.3238641530805164,0.34463158402442934,0.8876444444444445,0.8828,0.882244906466973,0.00025
40,0.320719908952713,0.34498619136810305,0.8892666666666666,0.884,0.8833329228661168,0.00025
